All,Stagione,Giorno,Mese,Specialita,PosizionediPartenza,PosizioneSecondaManche,PosizioneFinale,Tempo,Distacco,Paese,Pista,Altitudine,Punteggio,Latitudine,Longitudine
17,12_13,26,10,Slalom Gigante,41,31,41,00:00:00,NA,Austria,Solden,3048,0,47,11
16,11_12,17,3,Slalom Speciale,17,17,15,01:34:54,1.93,Austria,Schladming,950,16,47,14
15,11_12,10,3,Slalom Speciale,18,4,9,01:50:29,0.39,Svezia,Are,630,29,63,13
14,11_12,9,3,Slalom Gigante,47,44,41,00:00:00,NA,Svezia,Are,650,0,63,13
13,11_12,4,3,Slalom Speciale,18,3,27,02:06:21,5.62,Germania,Ofterschwang,1100,4,47,10
12,11_12,12,2,Slalom Gigante,53,28,26,02:05:06,3.88,Andorra,Soldeu,2300,5,43,2
11,11_12,11,2,Slalom Speciale,23,20,10,01:41:25,1.81,Andorra,Soldeu,2300,26,43,2
10,11_12,22,1,Slalom Speciale,20,32,41,00:00:00,NA,Slovenia,Kranjska Gora,1200,0,46,14
9,11_12,3,1,Slalom Speciale,22,39,41,NA,NA,Croazia,Zagabria,860,0,46,16
8,11_12,29,12,Slalom Speciale,40,12,3,01:53:12,1.3,Austria,Lienz,680,60,46,12
7,11_12,28,12,Slalom Gigante,56,53,41,00:00:00,NA,Austri,Lienz,700,0,46,12
6,11_12,20,12,Slalom Speciale,38,39,41,NA,NA,Austria,Flachau,1150,0,47,13
5,11_12,18,12,Slalom Speciale,38,39,41,NA,NA,Francia,Courchevel,2300,0,45,6
4,11_12,27,11,Slalom Speciale,37,13,8,01:47:03,0.99,Stati Uniti,Aspen,2200,32,40,-106
3,11_12,26,11,Slalom Speciale,55,35,41,00:00:00,NA,Stati Uniti,Aspen,2300,0,40,-106
2,10_11,12,3,Slalom Speciale,40,32,41,00:00:00,NA,Repubblica Cece,Spindleruv Mlyn,1250,0,51,16
1,10_11,11,3,Slalom Gigante,46,43,41,00:00:00,NA,Repubblica Cece,Spindleruv Mlyn,1300,0,51,16
